id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
0,Royal Enfield Classic 350,175000.0,2019,Individual,1st owner,350,,3,1,116.667,9.722,Royal Enfield
1,Honda Dio,45000.0,2017,Individual,1st owner,5650,,5,2,1130.0,94.167,Honda
2,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,12000,148114.0,4,3,3000.0,250.0,Royal Enfield
3,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2015,Individual,1st owner,23000,89643.0,7,5,3285.714,273.81,Yamaha
4,Yamaha SZ [2013-2014],20000.0,2011,Individual,2nd owner,21000,,11,5,1909.091,159.091,Yamaha
5,Honda CB Twister,18000.0,2010,Individual,1st owner,60000,53857.0,12,12,5000.0,416.667,Honda
6,Honda CB Hornet 160R,78500.0,2018,Individual,1st owner,17000,87719.0,4,4,4250.0,354.167,Honda
7,Royal Enfield Bullet 350 [2007-2011],180000.0,2008,Individual,2nd owner,39000,,14,8,2785.714,232.143,Royal Enfield
8,Hero Honda CBZ extreme,30000.0,2010,Individual,1st owner,32000,,12,7,2666.667,222.222,Hero Honda
9,Bajaj Discover 125,50000.0,2016,Individual,1st owner,42000,60122.0,6,9,7000.0,583.333,Bajaj
10,Yamaha FZ16,35000.0,2015,Individual,1st owner,32000,78712.0,7,7,4571.429,380.952,Yamaha
11,Honda Navi,28000.0,2016,Individual,2nd owner,10000,47255.0,6,2,1666.667,138.889,Honda
12,Bajaj Avenger Street 220,80000.0,2018,Individual,1st owner,21178,95955.0,4,5,5294.5,441.208,Bajaj
13,Yamaha YZF R3,365000.0,2019,Individual,1st owner,1127,351680.0,3,1,375.667,31.306,Yamaha
14,Jawa 42,185000.0,2020,Individual,1st owner,1700,,2,1,850.0,70.833,Jawa
15,Suzuki Access 125 [2007-2016],25000.0,2012,Individual,1st owner,55000,58314.0,10,11,5500.0,458.333,Suzuki
16,Hero Honda Glamour,25000.0,2006,Individual,1st owner,27000,,16,6,1687.5,140.625,Hero Honda
17,Yamaha YZF R15 S,40000.0,2010,Individual,2nd owner,45000,117926.0,12,9,3750.0,312.5,Yamaha
18,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,23000,148114.0,4,5,5750.0,479.167,Royal Enfield
19,Yamaha FZ25,120000.0,2018,Individual,1st owner,39000,132680.0,4,8,9750.0,812.5,Yamaha
20,Hero Passion Pro 110,15000.0,2008,Individual,1st owner,60000,,14,12,4285.714,357.143,Hero
21,Honda Navi [2016-2017],26000.0,2016,Individual,1st owner,17450,44389.0,6,4,2908.333,242.361,Honda
22,Honda Activa i,32000.0,2013,Individual,2nd owner,20696,53900.0,9,5,2299.556,191.63,Honda
23,Jawa Standard,180000.0,2019,Individual,1st owner,2000,,3,1,666.667,55.556,Jawa
